Country,Sector,Region,SUBREGION,Spread5,Spread10,Year,Revenue,Bal,Blank,Gross Debt,Net Debt,Gross National Savings,Moody's,CODE,Inflation Annual CPI,Current Account Balance,rating_old,S&P ranking,S&P,Fiscal Balance,Primary Fiscal Balance,Gross National Savings
Australia,Advanced Economies,OCEANIA,ANZ,33,,2015,34.9,-1.8,,38.1,19.9,AAA,1,AUS,108.2,-4,Aaa,1,AAA,-2.7,-1,23.1
Austria,Advanced Economies,EUROPE,WESTERN EUROPE,25,,2015,50.2,-1.5,,88.8,51,AAA,1,AUT,121.9,1.9,Aaa,2,AA+,-0.9,0.6,25.2
Belgium,Advanced Economies,EUROPE,WESTERN EUROPE,39,,2015,51,-2.2,,106.6,67.1,AA,2,BEL,120.3,2.3,AA,2,AA,-2.3,0.5,24.2
Canada,Advanced Economies,NORTHERN AMERICA,Canada,,,2015,38.1,-2.1,,87,38.3,AAA,1,CAN,126.2,-2.6,Aaa,1,AAA,-1.5,-1.6,21.3
Cyprus,Advanced Economies,NEAR EAST,South East,,,2015,39.3,-3.9,,105.7,0,B,6,CYP,118.5,-1.9,B,6,B+,0,-1,10.1
Czech Republic,Advanced Economies,EUROPE,EASTERN EUROPE,,,2015,38.5,-1.4,,42,0,A,3,CZE,123.1,1.6,A,2,AA,-0.8,-0.2,27.4
Denmark,Advanced Economies,EUROPE,WESTERN EUROPE,20,,2015,52.5,-3,,43.9,3.1,AAA,1,DNK,131.6,6.1,Aaa,1,AAA,-1.2,-2.5,25.8
Estonia,Advanced Economies,EUROPE,EASTERN EUROPE,64,,2015,38.6,-0.3,,10.1,-2.3,A,3,EST,144.8,-0.4,A,2,AA-,0,-0.3,25.1
Finland,Advanced Economies,EUROPE,WESTERN EUROPE,,,2015,55.6,-1.4,,61.7,-41.5,AAA,1,FIN,122.5,-0.3,Aaa,2,AA+,-0.6,-1.6,20.2
France,Advanced Economies,EUROPE,WESTERN EUROPE,30,,2015,53.2,-4.3,,97,89.3,AA,2,FRA,115.7,-0.1,AA,2,ib,-2,-2.2,21.3
Germany,Advanced Economies,EUROPE,WESTERN EUROPE,14,,2015,44.5,0.2,,69.5,46.9,AAA,1,DEU,116.5,8.4,Aaa,1,AAA,0.3,1.5,26.9
Greece,Advanced Economies,EUROPE,WESTERN EUROPE,,,2015,43.4,-1.9,,172.7,169.9,CCC,7,GRC,119.6,1.4,CCC,6,B,2.1,3,12.7
